# stock_code,available_image_numbers
000500,1|2|3|4|5
000660,1|2|3|4|5
001440,1|2|3|4|5
001820,1
003550,1|2|3|4|5
004870,1|2|3|4|5
005380,1|2|3|4|5
005500,1|2|3|4|5
005850,1|2|3|4|5
006260,1|2|3|4|5
006340,1
006400,1|2|3|4|5
006910,1
007390,1|2|3|4
009150,1|2|3|4|5
009420,1|2|3|4|5
009470,1
010120,1|2|3|4|5
010170,1|2|3|4|5
011000,1|2|3|4|5
011210,1|2|3|4|5
011790,1
012330,1|2|3|4|5
014910,1
017510,1
018260,1|2|3|4|5
018880,1|2|3|4|5
021880,1
025820,1
030520,1|2
031330,1|2|3|4|5
032500,1|2|3|4|5
032580,1
033100,1
034220,1|2|3|4|5
036710,1|2|3|4|5
036800,1|2|3|4|5
042500,1|2|3|4|5
042660,1|2|3|4|5
043150,1
049080,1
049480,1|2|3|4|5
050890,1|2|3|4|5
052400,1|2|3|4|5
053580,1|2|3|4|5
055490,1
060370,1|2|3|4|5
062040,1|2|3|4|5
062970,1
064290,1|2|3|4|5
065420,1
066430,1
066570,1|2|3|4|5
066980,1|2|3|4|5
073540,1|2|3|4|5
078600,1
084650,1|2|3|4|5
088800,1
091970,1|2|3|4|5
103140,1|2|3|4|5
109080,1|2|3|4|5
114190,1
115440,1|2|3|4|5
119850,1|2|3|4|5
121850,3|4|5
125020,1|2|3|4|5
126730,1|2|3|4|5
138080,1|2|3|4|5
147830,1
161580,1|2|3|4|5
169670,1|2|3|4|5
171090,1|2|3|4|5
177350,1
178320,1|2|3|4|5
189330,1
203650,1|2|3|4|5
204270,1|2|3|4|5
211270,1|2|3|5
218410,1|2|3|4|5
232680,1|2|3
253840,1
261780,1|2|3|4|5
262260,1|2|3|4|5
264450,1|2|3|4|5
274090,3
286940,1|2
288980,1|2|3|4|5
298040,1|2|3|4|5
300080,1
304840,1
307950,1|2|3|4|5
329180,1|2|3|4|5
330860,1|2|3|4|5
347850,1|2|3|4|5
356680,1|2|3|4|5
358570,1|2|3|4|5
373110,1
373220,1|2|3|4|5
380540,1|2|3|4|5
381620,1
388050,1
393890,1
417010,1
417860,1|2|3|4|5
420770,1|2|3|4|5
439960,1|2|3|4|5
446540,1
448900,1|2
453450,1|2|3|4|5
475430,1|2|3|4|5
477850,1|2|3|4|5
